ano,trimestre,CodigoDepartamento,departamento,CodigoMunicipio,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2015,3,41,HUILA,41615,RIVERA,4523129.3881460996,4292260.96730801,4026411.3199086902,12841801.675362799
2015,3,41,HUILA,41885,YAGUARA,31872441.872238301,32582779.388360102,31424367.634538598,95879588.895136997
2015,3,47,MAGDALENA,47245,EL BANCO,38477263,41625790,31936542,112039595
2015,3,47,MAGDALENA,47318,GUAMAL,23157683,25657110,21995542,70810335
2015,3,47,MAGDALENA,47545,PIJINO DEL CARMEN,9762980,11598527,12861433,34222940
2015,3,47,MAGDALENA,47703,SAN ZENON,4540754,5272163,5420495,15233412
2015,3,47,MAGDALENA,47707,SANTA ANA,14210598,16882346,18720581,49813525
2015,3,47,MAGDALENA,47720,SANTA BARBARA DE PINTO,11791391,14008303,15533597,41333291
2015,3,50,META,50110,BARRANCA DE UPIA,161219475.96972001,164661535.89983001,160128879.94340399,486009891.81295401
2015,3,50,META,50226,CUMARAL,188861011.85988501,192892308.169664,187580942.370168,569334262.39971697
2015,3,50,META,50573,PUERTO LOPEZ,474149890.18386102,474017873.93893403,469714683.40459698,1417882447.52739
2015,3,50,META,50606,RESTREPO,18480277.986534599,18875737.991572201,18357723.281829901,55713739.259936698
2015,3,54,NORTE DE SANTANDER,54099,BOCHALEMA,60828,1699778,4124539,5885145
2015,3,54,NORTE DE SANTANDER,54172,CHINACOTA,167519,4681141,11358864,16207524
2015,3,54,NORTE DE SANTANDER,54001,CUCUTA,1794727,11955530,26812172,40562429
2015,3,54,NORTE DE SANTANDER,54245,EL CARMEN,157506,4401338,10679919,15238763
2015,3,54,NORTE DE SANTANDER,54250,EL TARRA,210324,5877275,14261302,20348901
2015,3,54,NORTE DE SANTANDER,54385,LA ESPERANZA,31083846,28315563,23261770,82661179
2015,3,54,NORTE DE SANTANDER,54673,SAN CAYETANO,107110,2993088,7262776,10362974
2015,3,54,NORTE DE SANTANDER,54720,SARDINATA,37407,1045307,2536454,3619168
2015,3,54,NORTE DE SANTANDER,54800,TEORAMA,119755,3346438,8120187,11586380
2015,3,54,NORTE DE SANTANDER,54810,TIBU,5227746,12397135,22388449,40013330
2015,3,54,NORTE DE SANTANDER,54820,TOLEDO,508126,14199047,34454216,49161389
2015,3,86,PUTUMAYO,86001,MOCOA,364793.51535430102,239945.20509287799,250413.859171686,855152.57961886504
2015,3,86,PUTUMAYO,86320,ORITO,54471814.532381602,72862946.587496102,74331030.056509793,201665791.17638701
2015,3,86,PUTUMAYO,86569,PUERTO CAICEDO,6307630.1238753796,3704538.1262328699,3866164.7282325798,13878332.978340801
2015,3,86,PUTUMAYO,86757,SAN MIGUEL,21329834.476317901,29152093.381576601,32383087.301955499,82865015.159850106
2015,3,86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,31229981.215629399,41448513.565753803,42269154.3636702,114947649.145053
2015,3,68,SANTANDER,68020,ALBANIA,106586490,109233535,104961607,320781632
2015,3,68,SANTANDER,68101,BOLIVAR,21596778,18291060,17602889,57490727
2015,3,68,SANTANDER,68190,CIMITARRA,513764848,438824941,416632972,1369222761
2015,3,68,SANTANDER,68271,FLORIAN,332221891,340472525,327157256,999851672
2015,3,68,SANTANDER,68377,LA BELLEZA,140694167,144188266,138549322,423431755
2015,3,68,SANTANDER,68572,PUENTE NACIONAL,245968823,252077388,242219094,740265305
2015,3,68,SANTANDER,68573,PUERTO PARRA,114503078,95850704,93973653,304327435
2015,3,68,SANTANDER,68575,PUERTO WILCHES,141493963,129416736,112383065,383293764
2015,3,68,SANTANDER,68615,RIONEGRO,54718053,50323598,41966980,147008631
2015,3,68,SANTANDER,68745,SIMACOTA,67237344,54321596,56307796,177866736
2015,3,70,SUCRE,70110,BUENAVISTA,5270264,6014707,5811830,17096801
2015,3,70,SUCRE,70215,COROZAL,13622199,15395486,14329436,43347121
2015,3,70,SUCRE,70997,GALERAS,455274,484460,340849,1280583
2015,3,70,SUCRE,70523,PALMITO,18128359,20375036,19421405,57924800
2015,3,70,SUCRE,70702,SAN JUAN BETULIA,14490678,16371220,15216387,46078285
2015,3,70,SUCRE,70713,SAN ONOFRE,0,244197,9354112,9598309
2015,3,70,SUCRE,70717,SAN PEDRO,11841705,14068076,15599879,41509660
2015,3,70,SUCRE,70001,SICELEJO,27893873,31309232,28351774,87554879
2015,3,70,SUCRE,70742,SINCE,26596570,28805590,22225384,77627544
2015,3,70,SUCRE,70820,TOLU,0,275613,10557542,10833155
2015,3,73,TOLIMA,73026,ALVARADO,55215609,50399540,46271374,151886523
2015,3,73,TOLIMA,73148,CARMEN DE APICALA,9504863,9385243,8966349,27856455
2015,3,73,TOLIMA,73200,COELLO,18700084,17278967,15911200,51890251
2015,3,73,TOLIMA,73217,COYAIMA,37182748,34332329,30876459,102391536
2015,3,73,TOLIMA,73268,ESPINAL,28947455,28155343,26610955,83713753
2015,3,73,TOLIMA,73270,FALAN,1115467,1018173,934776,3068416
2015,3,73,TOLIMA,73275,FLANDES,9218505,9102490,8696216,27017211
2015,3,73,TOLIMA,73319,GUAMO,60229638,55087000,50377332,165693970
2015,3,73,TOLIMA,73055,GUAYABAL,59119742,53963144,49543086,162625972
2015,3,73,TOLIMA,73349,HONDA,27886672,25454313,23369380,76710365
2015,3,73,TOLIMA,73001,IBAGUE,45176408,41235987,37858396,124270791
2015,3,73,TOLIMA,73408,LERIDA,57446542,52435886,48140924,158023352
2015,3,73,TOLIMA,73443,MARIQUIRTA,55773342,50908626,46738761,153420729
2015,3,73,TOLIMA,73483,NATAGAIMA,64540004,59592385,53593853,177726242
2015,3,73,TOLIMA,73547,PIEDRAS,34858340,31817892,29211725,95887957
2015,3,73,TOLIMA,73678,SAN LUIS,2292478,2096737,1917476,6306691
2015,3,73,TOLIMA,73770,SUAREZ,2874588,2838411,2711723,8424722
2015,3,73,TOLIMA,73861,VENADILLO,42666606,38945099,35755153,117366858
2015,4,5,ANTIOQUIA,05154,CAUCASIA,446768075,433575309,423294314,1303637698
2015,4,5,ANTIOQUIA,05579,PUERTO BERRIO,398547892,386780051,377608929,1162936872
2015,4,5,ANTIOQUIA,05585,PUERTO NARE,65272578,63708837,64156872,193138287
2015,4,5,ANTIOQUIA,05591,PUERTO TRIUNFO,69156380,67342471,69482403,205981254
2015,4,5,ANTIOQUIA,05604,REMEDIOS,470488217,456586045,445757131,1372831393
2015,4,5,ANTIOQUIA,05736,SEGOVIA,169108880,164110705,160218143,493437728
2015,4,5,ANTIOQUIA,05765,SONSON,34427194,33524200,34589493,102540887
2015,4,5,ANTIOQUIA,05895,ZARAGOZA,385754745,374362124,365484808,1125601677
2015,4,81,ARAUCA,81300,FORTUL,50513158.830907203,16705719.098767599,51838544.314340398,119057422.24401499
2015,4,81,ARAUCA,81736,SARAVENA,227775760.733412,189384538.406789,253213235.56162801,670373534.70182896
2015,4,81,ARAUCA,81794,TAME,146301367.43568099,48384808.4944437,150140085.12403199,344826261.05415601
2015,4,13,BOLIVAR,13052,ARJONA,1551232,12046561,14155342,27753135
2015,4,13,BOLIVAR,13001,CARTAGENA,569542,4422954,5197203,10189699
2015,4,13,BOLIVAR,13188,CICUCO,12409911,13847020,10534062,36790993
2015,4,13,BOLIVAR,13212,CORDOBA,10637441,7018862,9478951,27135254
2015,4,13,BOLIVAR,13430,MAGANGUE,28390092,26054979,24619725,79064796
2015,4,13,BOLIVAR,13442,MARIA LA BAJA,1950529,15147419,17799013,34896961
2015,4,13,BOLIVAR,13468,MOMPOS,13810248,15409521,11722728,40942497
2015,4,13,BOLIVAR,13780,TALAIGUA NUEVO,5917163,6602390,5022740,17542293
2015,4,13,BOLIVAR,13838,TURBANA,1163553,9035919,10617679,20817151
2015,4,15,BOYACA,15104,BOYACA,51868884.0378417,50477150.7873891,49011238.777218997,151357273.60245001
2015,4,15,BOYACA,15131,CALDAS,106725.712838165,88227.221588919405,114668.52932191901,309621.463749004
2015,4,15,BOYACA,15135,CAMPOHERMOSO,190197246.07907501,185092260.36272001,179720058.38104299,555009564.82283902
2015,4,15,BOYACA,15223,CUBARA,22965854.627316199,13790434.222367501,22809797.821051002,59566086.670734704
2015,4,15,BOYACA,15367,JENESANO,233404106.256082,227142326.04606301,220544266.72837299,681090699.03051805
2015,4,15,BOYACA,15455,MIRAFLORES,337139445.32179803,328094620.45155001,318564134.57376897,983798200.34711695
2015,4,15,BOYACA,15469,MONIQUIRA,43215585.004030801,42057278.258707903,40833582.499601401,126106445.76233999
2015,4,15,BOYACA,15507,OTANCHE,474704818.159482,461851030.34234297,448654716.60229701,1385210565.10412
2015,4,15,BOYACA,15514,PAEZ,190185719.70208901,185082731.82278901,179707674.17987701,554976125.70475399
2015,4,15,BOYACA,15531,PAUNA,10672.5712838165,8822.7221588919492,11466.8529321919,30962.1463749004
2015,4,15,BOYACA,15599,RAMIRIQUI,146971388.72518399,143026490.233935,138875438.03549501,428873316.99461299
2015,4,15,BOYACA,15639,SACHICA,121026994.53354099,117779687.65182699,114359126.80652601,353165808.99189401
2015,4,15,BOYACA,15646,SAMACA,198834136.03453699,193498567.95608199,187880083.372278,580212787.36289704
2015,4,15,BOYACA,15667,SAN LUIS DE GACENO,34574319.294342399,33647353.349260896,32668855.098664898,100890527.742268
2015,4,15,BOYACA,15696,SAN SOFIA,224760145.72214401,218730173.39927101,212376643.94707099,655866963.06848598
2015,4,15,BOYACA,15776,SUTAMARCHAN,10716379.429597201,10429307.224407099,10125561.518283799,31271248.172288202
2015,4,15,BOYACA,15832,TUNUNGUA,186769.99746678901,154397.63778060899,200669.92631335801,541837.56156075594
2015,4,15,BOYACA,15861,VENTAQUEMADA,69163180.967058897,67306727.657463297,65353334.784449801,201823243.408972
2015,4,15,BOYACA,15407,VILLA DE LEYVA,170816842.68152699,166234213.773862,161405316.39794499,498456372.85333401
2015,4,15,BOYACA,15897,ZETAQUIRA,198843207.72012901,193506067.26991701,187889830.19727001,580239105.18731594
2015,4,17,CALDAS,17380,LA DORADA,199821492,194465819,200638958,594926269
2015,4,85,CASANARE,85125,HATO COROZAL,139503425.93382001,51081092.5343787,140629110.828931,331213629.29712999
2015,4,85,CASANARE,85162,MONTEREY,2219248984.6649399,2120999510.70595,2009992801.60675,6350241296.9776402
2015,4,85,CASANARE,85225,NUNCHIA,84044999.224591807,30774229.117493901,84723177.278851405,199542405.62093699
2015,4,85,CASANARE,85263,PORE,50444470.1275196,18470934.1954052,50851518.234657601,119766922.55758201
2015,4,85,CASANARE,85300,SABANALARGA,323747721.04912698,311903663.44677401,306252163.05081099,941903547.54671097
2015,4,20,CESAR,20011,AGUACHICA,144025725,132237872,135983536,412247133
2015,4,20,CESAR,20175,CHIMICHAGUA,43591027,28762500,38843667,111197194
2015,4,20,CESAR,20295,GAMARRA,48817291,44842475,46085719,139745485
2015,4,20,CESAR,20383,LA GLORIA,79457510,70739438,74071829,224268777
2015,4,20,CESAR,20517,PAILITAS,16844044,11114141,15009613,42967798
2015,4,20,CESAR,20550,PELAYA,26554044,21904717,23255940,71714701
2015,4,20,CESAR,20614,RIO DE ORO,23874493,21914002,22545360,68333855
2015,4,20,CESAR,20710,SAN ALBERTO,56014341,51418210,52899916,160332467
2015,4,20,CESAR,20787,TAMALAMEQUE,27868804,28296877,23915605,80081286
2015,4,23,CORDOBA,23079,BUENAVISTA,215937158,209557070,204587106,630081334
2015,4,23,CORDOBA,23182,CHINU,39927887,38741418,37820884,116490189
2015,4,23,CORDOBA,23350,LA APARTADA,102664984,99620846,97255435,299541265
2015,4,23,CORDOBA,23464,MOMIL,74834291,72622908,70900463,218357662
2015,4,23,CORDOBA,23555,PLANETA RICA,134377796,130407820,127315091,392100707
2015,4,23,CORDOBA,23570,PUEBLO NUEVO,133929056,129971400,126888782,390789238
2015,4,23,CORDOBA,23660,SAHAGUN,329391377,319671842,312093570,961156789
2015,4,23,CORDOBA,23670,SAN ANDRES DE SOTAVENTO,211338907,205093758,200229414,616662079
2015,4,23,CORDOBA,23815,TUCHIN,67478434,65481598,63927808,196887840
2015,4,25,CUNDINAMARCA,25148,CAPARRAPI,5862063,5502619,5651806,17016488
2015,4,25,CUNDINAMARCA,25320,GUADUAS,113029879,106099236,108975807,328104922
2015,4,25,CUNDINAMARCA,25530,PARATEBUENO,209194008,196334786,203961328,609490122
2015,4,90,DEPARTAMENTO NN,90999,MUNICIPIO NN,1488594,1390372,1604785,4483751
2015,4,41,HUILA,41132,CAMPOALEGRE,6778144.7914968198,7564534.9910321198,7829737.1463802401,22172416.928909201
2015,4,41,HUILA,41349,HOBO,991270.18689874501,1106275.86825371,1145060.37318604,3242606.4283385002
2015,4,41,HUILA,41524,PALERMO,38317336.045705602,38572071.913256198,41034082.221577898,117923490.18054
2015,4,41,HUILA,41615,RIVERA,3590005.5417414,4006512.60394587,4146975.4055927,11743493.551279999
2015,4,41,HUILA,41885,YAGUARA,32707061.434157401,32924499.6235121,35026031.853263102,100657592.910933
2015,4,47,MAGDALENA,47245,EL BANCO,39914744,41068377,34202738,115185859
